doi,identifier,use,pubpeer
10.1139/bcb-2018-0126,AB9361,wrong,https://pubpeer.com/publications/7961480FE190BA5B5EC4517C4814B1
10.1016/j.cellsig.2022.110327,AB9361,wrong,https://pubpeer.com/publications/9C4E70CD60128937A4D76168665E8D
10.3892/ijmm.2019.4074,AB9361,wrong,https://pubpeer.com/publications/08CC241A3CCD487A91CAF5F13CD72B
10.1007/s00011-023-01843-8,AB9361,wrong,https://pubpeer.com/publications/61044D181D854AA861DCA2CCD4735C
10.1016/j.cell.2016.11.052,AB986,wrong,https://pubpeer.com/publications/48BDF08C260CC217F4CB3C8CF27EAB
10.18632/oncotarget.17778,AB9361,wrong,https://pubpeer.com/publications/2BED348FBCCDC6372CFD201D8A70D9
10.1038/s43587-023-00479-x,A-11132,wrong,https://pubpeer.com/publications/F1EB69635C1CBC759536BA7AE58BF0
10.1111/acel.13279,AB9361,wrong,https://pubpeer.com/publications/4175BD7FC22AFF9A220B5FCD66B509
10.1016/j.freeradbiomed.2021.12.010,AB616,wrong,https://pubpeer.com/publications/189C09610FD15FBC063A1AF70BE1A5
10.1158/0008-5472.can-10-2177,AB616,wrong,https://pubpeer.com/publications/1ED54DFADB243240BC7D22D089CB9A
10.3892/ijmm.2018.4005,AB9361,wrong,https://pubpeer.com/publications/CD23BDA4E83C21F5479152E094FBDE
10.1002/jcb.28713,AB9361,wrong,https://pubpeer.com/publications/35A3AC884BD2131E181D01B1CCFD04
10.1016/j.clinre.2019.10.007,ab4761,wrong,
10.1111/bph.16156,AB9361,wrong,
10.1016/j.redox.2020.101727,ab4761,wrong,
10.1038/s41598-019-55709-3,AB9361,wrong,https://pubpeer.com/publications/70123B9112795FA9FE396D1EDAF435
10.1155/2021/9969842,AB9361,wrong,
10.1002/jbmr.3921,AB616,wrong,https://pubpeer.com/publications/B550708CD4B1E252ED880944DB621F
10.1038/s41598-021-91501-y,AB616,wrong,https://pubpeer.com/publications/67CB861A536399A842D7C595132053
10.1097/j.pain.0000000000002807,sc-65670,wrong,
10.7150/ijbs.78785,AB616,wrong,
10.18632/aging.103637,AB9361,wrong,
10.3390/biomedicines10071468,sc-65670,wrong,
10.1152/ajplung.00441.2018,A-11132,wrong,
10.1186/s40478-018-0573-6,AB9361,wrong,
10.1038/s41467-021-26993-3,AB116,wrong,
10.1007/s11357-021-00487-y,AB9361,wrong,
10.3389/fnagi.2023.1162747,sc-65670,wrong,
10.1177/1947601909358105,AB616,wrong,
10.1007/s00011-024-01892-7,AB9361,wrong,
10.1016/j.jot.2024.08.012,AB616,wrong,
10.3390/molecules27185783,ab4761,wrong,
10.1038/s41467-024-53675-7,AB9361,wrong,
10.1002/jbmr.4770,AB616,wrong,
10.1038/s41598-024-53400-w,AB9361,wrong,
10.1016/j.jot.2024.10.011,AB616,wrong,
10.1016/j.bbamcr.2024.119768,A-11132,wrong,
10.1038/s41420-025-02650-2,A-11132,wrong,
10.14336/AD.2024.0201,AB616,wrong,
10.1002/advs.202404311,A-11132,wrong,
10.1007/s10522-025-10231-0,sc-65670,wrong,
10.1038/s41419-023-06326-6,AB116,wrong,
10.1007/s11064-025-04510-y,sc-65670,wrong,
10.1111/jnc.70164,sc-65670,wrong,
10.3390/ijms26209900,14-6773-81,wrong,
10.7554/eLife.57393,AB9361,wrong,
10.1016/j.jid.2025.03.044,AB9361,wrong,
10.1089/ars.2024.0784,AB616,wrong,
10.1128/mbio.03441-25,A-11132,wrong,
10.1007/s10565-026-10172-5,AB616,wrong,
10.1016/j.jcmgh.2026.101731,A-11132,wrong,
10.1038/s41514-026-00334-4,A-11132,wrong,
10.3390/nutraceuticals3020020,sc-65670,wrong,
10.7717/peerj.20433,AB9361,wrong,
