doi,identifier,use
10.1038/s41586-019-0885-0,ab51243,wrong
10.1038/nm.3750,ab51243,wrong
10.1038/s41419-020-03341-9,ab51243,wrong
10.1016/j.ccell.2017.04.005,ab51243,wrong
10.7554/eLife.52570,ab51243,wrong
10.3390/ijms20236093,ab51243,wrong
10.1016/j.ccell.2019.03.003,ab51243,wrong
10.1016/j.ebiom.2019.06.049,ab51243,wrong
10.1016/j.immuni.2016.09.013,ab51243,wrong
10.1016/j.redox.2012.11.004,ab51243,wrong
10.1155/2021/8884922,ab51243,wrong
10.1111/acel.12778,ab51243,wrong
10.1016/j.placenta.2018.06.307,ab51243,wrong
10.1038/s12276-020-00545-z,ab51243,wrong
10.1159/000492096,ab51243,wrong
10.1080/15548627.2024.2353548,ab51243,wrong
10.1038/onc.2015.186,ab51243,wrong
10.4161/cbt.18942,ab51243,wrong
10.1007/s00109-017-1591-8,ab51243,wrong
10.1038/s41368-021-00116-6,sc-166760,wrong
10.1038/s41388-021-01753-1,ab51243,wrong
10.1186/s12989-023-00546-6,ab51243,wrong
10.1038/s41392-022-00886-3,ab51243,wrong
10.1016/j.envint.2024.108489,ab51243,wrong
10.1016/j.biopha.2020.109935,ab51243,wrong
10.1016/j.stem.2018.06.001,sc-166760,wrong
10.18632/oncotarget.15116,ab51243,wrong
10.1038/s41401-023-01153-z,ab51243,wrong
10.1038/s41598-019-43689-3,ab51243,wrong
10.1038/s41419-021-03800-x,ab51243,wrong
10.1111/acel.13686,ab51243,wrong
10.1074/jbc.RA119.010734,ab51243,wrong
10.1152/ajpcell.00520.2019,ab51243,wrong
10.1074/jbc.RA119.010648,sc-166760,wrong
10.1152/ajplung.00355.2017,ab51243,wrong
10.1080/15548627.2023.2274205,ab51243,wrong
10.1038/s44161-022-00181-y,ab51243,wrong
10.1038/s41598-018-27209-3,ab51243,wrong
10.1038/cr.2016.148,ab51243,wrong
10.1167/iovs.14-15913,ab51243,wrong
10.1002/1878-0261.12565,ab151303,wrong
10.1186/s13287-021-02215-x,ab51243,wrong
10.1093/alcalc/agx006,ab51243,wrong
10.1111/jcmm.15256,ab51243,wrong
10.1186/s12951-022-01367-z,ab151303,wrong
10.1016/j.kint.2019.06.021,ab51243,wrong
10.18632/aging.202850,sc-166760,wrong
10.1042/BSR20190112,ab51243,wrong
10.18632/aging.101050,ab51243,wrong
10.1038/srep34578,ab51243,wrong
10.7150/thno.48080,ab51243,wrong
10.1080/15384101.2019.1618124,ab51243,wrong
10.1155/2020/7151946,ab51243,wrong
10.1096/fj.201701518R,ab51243,wrong
10.2147/OTT.S227758,ab51243,wrong
10.1186/s40659-022-00379-1,ab51243,wrong
10.1016/j.omtn.2020.10.012,ab51243,wrong
10.1590/1414-431X20186839,sc-166760,wrong
10.3892/ol.2019.10430,ab51243,wrong
10.1111/febs.14749,ab51243,wrong
10.1111/cas.14827,ab51243,wrong
10.1038/s41419-021-03791-9,ab51243,wrong
10.1186/s13046-019-1486-3,sc-166760,wrong
10.1038/onc.2017.125,ab51243,wrong
10.1016/j.bbadis.2019.05.017,ab51243,wrong
10.3390/ijms22073721,ab51243,wrong
10.1186/s12951-023-01894-3,ab51243,wrong
10.1093/rheumatology/keab725,ab51243,wrong
10.1038/s12276-021-00662-3,ab151303,wrong
10.1016/j.redox.2022.102537,ab151303,wrong
10.3390/biom11101429,ab51243,wrong
10.3390/ijms22179323,ab51243,wrong
10.1172/jci.insight.140109,ab51243,wrong
10.1016/j.jare.2023.04.014,ab51243,wrong
10.1038/s41419-022-05217-6,ab51243,wrong
10.3892/etm.2022.11396,ab51243,wrong
10.3892/etm.2020.9457,ab51243,wrong
10.18632/aging.103450,ab51243,wrong
10.1186/s12935-021-01910-2,ab51243,wrong
10.1038/cddis.2017.169,ab51243,wrong
10.1242/jcs.259738,ab51243,wrong
10.1002/JLB.3MA0321-745R,sc-166760,wrong
10.1016/j.ymthe.2022.12.002,ab51243,wrong
10.3390/cancers13184730,ab51243,wrong
10.3892/or.2018.6700,ab51243,wrong
10.7150/thno.100991,ab51243,wrong
10.1111/acel.13760,ab51243,wrong
10.1080/15384101.2017.1361066,ab51243,wrong
10.3892/ijmm.2021.4909,ab51243,wrong
10.1016/j.jhazmat.2024.135103,ab51243,wrong
10.1186/s13018-023-03571-5,ab51243,wrong
10.1038/s41401-022-00977-5,ab51243,wrong
10.3892/ijo.2019.4816,ab51243,wrong
10.18632/aging.203949,ab51243,wrong
10.1186/s12885-019-5425-7,ab51243,wrong
10.1038/s41419-023-05843-8,ab51243,wrong
10.1016/j.celrep.2021.109639,ab51243,wrong
10.3892/etm.2020.9022,ab51243,wrong
10.1002/jcp.29930,ab51243,wrong
10.3892/mmr.2019.10677,ab51243,wrong
10.1155/2022/8033353,ab51243,wrong
10.1111/1759-7714.13027,ab51243,wrong
10.1038/s41419-021-03416-1,ab51243,wrong
10.3892/etm.2022.11482,ab51243,wrong
10.1002/jgm.3395,ab51243,wrong
10.7150/thno.17853,ab51243,wrong
10.18632/aging.103910,ab51243,wrong
10.1093/abbs/gmab112,ab51243,wrong
10.1016/j.biopha.2018.11.029,ab51243,wrong
10.1302/2046-3758.132.BJR-2023-0146.R2,ab51243,wrong
10.1186/s13287-022-03031-7,ab51243,wrong
10.3390/cells13151292,ab51243,wrong
10.1016/j.cbi.2019.06.029,ab151303,wrong
10.1111/febs.14087,ab51243,wrong
10.1016/j.ijbiomac.2023.126778,ab51243,wrong
10.3389/fcell.2021.622287,ab51243,wrong
10.3892/ijmm.2018.3917,ab51243,wrong
10.1007/s12265-022-10211-6,ab51243,wrong
10.1038/s41374-018-0178-5,sc-166760,wrong
10.3892/mmr.2019.10212,ab51243,wrong
10.3892/ol.2017.6535,ab151303,wrong
10.18632/aging.103186,ab51243,wrong
10.1158/0008-5472.CAN-21-0399,ab51243,wrong
10.1007/s00198-021-06061-8,ab51243,wrong
10.1042/BSR20170710,ab51243,wrong
10.1158/2326-6066.CIR-16-0358,ab51243,wrong
10.3389/fcell.2021.628463,ab151303,wrong
10.1096/fj.202200406RR,ab51243,wrong
10.1038/s41420-021-00546-5,ab51243,wrong
10.4149/gpb_2019018,ab51243,wrong
10.1016/j.jot.2022.06.002,ab51243,wrong
10.12659/MSM.922029,ab51243,wrong
10.1016/j.bbrc.2010.11.084,ab51243,wrong
10.1016/j.biopha.2020.109851,ab51243,wrong
10.3233/CBM-182222,ab51243,wrong
10.1002/jbm.a.36244,ab51243,wrong
10.1186/s12951-024-02561-x,ab51243,wrong
10.1016/j.omtn.2023.03.002,ab51243,wrong
10.1155/2021/3843145,ab151303,wrong
10.1186/s12931-019-1165-0,ab51243,wrong
10.1002/advs.202001950,sc-166760,wrong
10.1080/21655979.2022.2027172,ab51243,wrong
10.3892/ijmm.2019.4074,ab51243,wrong
10.1371/journal.pone.0178375,ab151303,wrong
10.1186/s13287-020-02084-w,ab51243,wrong
10.1093/gerona/glad278,ab51243,wrong
10.2147/DDDT.S404710,ab51243,wrong
10.5603/FHC.a2023.0007,ab51243,wrong
10.3389/fonc.2020.00380,ab51243,wrong
10.1093/jrr/rrac059,ab51243,wrong
10.18632/aging.101732,ab51243,wrong
10.1080/21655979.2022.2084495,ab51243,wrong
10.1016/j.exger.2024.112408,ab51243,wrong
10.3389/fphar.2019.00320,ab51243,wrong
10.1096/fj.202200046R,ab51243,wrong
10.1080/15384101.2021.2010170,ab51243,wrong
10.1038/s41419-021-03867-6,ab51243,wrong
10.3389/fphar.2022.1033919,ab51243,wrong
10.3390/ijms231911639,ab51243,wrong
10.1002/adhm.202203056,ab51243,wrong
10.1016/j.ecoenv.2024.116884,ab51243,wrong
10.1038/onc.2017.235,ab51243,wrong
10.1186/s13287-023-03350-3,ab51243,wrong
10.1186/s13195-023-01202-z,ab51243,wrong
10.1080/21691401.2019.1703730,ab151303,wrong
10.37796/2211-8039.1392,sc-166760,wrong
10.3390/biom14030329,ab51243,wrong
10.1038/s41417-018-0053-y,ab51243,wrong
10.1186/s13008-024-00120-2,ab51243,wrong
10.3892/ijo.2019.4783,ab151303,wrong
10.1016/j.mad.2023.111803,ab51243,wrong
10.1155/2020/4252047,ab51243,wrong
10.1080/13880209.2021.1986076,ab51243,wrong
10.1111/acel.13454,ab51243,wrong
10.3390/biology12010042,ab51243,wrong
10.1186/s12906-024-04387-4,ab51243,wrong
10.1016/j.ecoenv.2025.117987,ab51243,wrong
