oga_id,catalogue_number,supplier,rrid,gene_name,availability_checked,evidence_quote,evidence_type,checked_how,checked_on,previous_verdict
1876,MAB7578,Bio-Techne (R&D Systems),AB_2889405,NLRP3,available,[11-12 Aug] Novus Order Details: MAB7578-SP GBP 168.00 / MAB7578 GBP 392.00 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1935,AF321,Bio-Techne (R&D Systems),AB_355298,FLT1,available,"[11-12 Aug] R&D Systems: ""In Stock - Arrives in 7-9 Business Days"", 100 ug / GBP 455.00",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
68,BBA10,Bio-Techne (R&D Systems),AB_356933,CD44,available,"[11-12 Aug] R&D Systems: ""In Stock - Arrives in 3-5 Business Days""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1675,AF953,Bio-Techne (R&D Systems),AB_355738,CTSB,available,"[11-12 Aug] R&D Systems: ""In Stock - Arrives in 7-9 Business Days"" (AF953 and AF953-SP)",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1073,ab4193,abcam,AB_304357,SFRP1,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued."" (page title: ab4193 is not available)",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
2794,MAB3925,Bio-Techne (R&D Systems),AB_2263162,NFE2L2,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP168 / 100 ug GBP383",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1879,MAB7169,Bio-Techne (R&D Systems),AB_10971940,STING1,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP168 / 100 ug GBP398",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1132,MAB8028,Bio-Techne (R&D Systems),AB_2885150,SQSTM1,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP168 / 100 ug GBP381",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
407,ab41906,abcam,AB_2284360,PRDX1,discontinued,"[11-12 Aug] Abcam: ""Anti-Peroxiredoxin 1/PAG antibody (AB41906) is unavailable. This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1989,ab39969,abcam,AB_945374,SCD1,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
