gene_name,item_number,product_name
ARAF,HZGHC000001c010,Human ARAF 5bp deletion knockout cell line
ARAF,HZGHC000001c013,Human ARAF 1bp deletion knockout cell line
BRAF,HZGHC000002c001,Human BRAF 19bp deletion knockout cell line
BRAF,HZGHC000002c015,Human BRAF 2bp deletion knockout cell line
BRAF,HZGHC000002c016,Human BRAF 5bp deletion knockout cell line
CHUK,HZGHC000003c011,Human CHUK 26bp deletion knockout cell line
GSK3A,HZGHC000006c013,Human GSK3A 2bp insertion knockout cell line
GSK3A,HZGHC000006c023,Human GSK3A 286bp deletion knockout cell line
GSK3B,HZGHC000007c011,Human GSK3B 31bp deletion knockout cell line
GSK3B,HZGHC000007c024,Human GSK3B 8bp deletion knockout cell line
HCK,HZGHC000008c013,Human HCK 20bp deletion knockout cell line
HCK,HZGHC000008c016,Human HCK 8bp deletion knockout cell line
IRAK1,HZGHC000009c005,Human IRAK1 4bp deletion knockout cell line
IRAK1,HZGHC000009c019,Human IRAK1 2bp insertion knockout cell line
IRAK1,HZGHC000009c021,Human IRAK1 14bp deletion knockout cell line
JAK1,HZGHC000012c001,Human JAK1 16bp deletion knockout cell line
JAK1,HZGHC000012c022,Human JAK1 1bp deletion knockout cell line
MAP2K1,HZGHC000015c001,Human MAP2K1 1bp insertion knockout cell line
MAP2K2,HZGHC000016c018,Human MAP2K2 7bp deletion knockout cell line
MAP4K3,HZGHC000017c008,Human MAP4K3 4bp deletion knockout cell line
MAP4K3,HZGHC000017c014,Human MAP4K3 14bp deletion knockout cell line
MAP4K5,HZGHC000018c007,Human MAP4K5 19bp deletion knockout cell line
MAP4K5,HZGHC000018c008,Human MAP4K5 232bp insertion knockout cell line
MAPK1,HZGHC000019c010,Human MAPK1 4bp deletion knockout cell line
MAPK1,HZGHC000019c019,Human MAPK1 251bp insertion knockout cell line
MAPK12,HZGHC000021c014,Human MAPK12 1bp insertion knockout cell line
MAPK3,HZGHC000022c010,Human MAPK3 7bp deletion knockout cell line
MAPK9,HZGHC000024c004,Human MAPK9 2bp deletion knockout cell line
MAPKAPK2,HZGHC000025c013,Human MAPKAPK2 2bp deletion knockout cell line
MAPKAPK2,HZGHC000025c016,Human MAPKAPK2 7bp deletion knockout cell line
PDK1,HZGHC000027c012,Human PDK1 2bp deletion knockout cell line
PDK1,HZGHC000027c024,Human PDK1 20bp deletion knockout cell line
TAOK1,HZGHC000029c015,Human TAOK1 14bp deletion knockout cell line
TAOK1,HZGHC000029c020,Human TAOK1 2bp deletion knockout cell line
TAOK2,HZGHC000030c002,Human TAOK2 5bp deletion knockout cell line
TAOK2,HZGHC000030c010,Human TAOK2 2bp deletion knockout cell line
TBK1,HZGHC000031c010,Human TBK1 2bp deletion knockout cell line
TBK1,HZGHC000031c012,HAP1 TBK1 (-)
TESK2,HZGHC000033c002,Human TESK2 7bp deletion knockout cell line
TESK2,HZGHC000033c012,Human TESK2 4bp deletion knockout cell line
TGFBR1,HZGHC000034c011,Human TGFBR1 2bp insertion knockout cell line
TGFBR1,HZGHC000034c012,Human TGFBR1 5bp deletion knockout cell line
TGFBR2,HZGHC000035c014,Human TGFBR2 7bp deletion knockout cell line
TGFBR2,HZGHC000035c015,Human TGFBR2 13bp deletion knockout cell line
TGFBR2,HZGHC000035c020,Human TGFBR2 2bp deletion knockout cell line
TYK2,HZGHC000036c008,Human TYK2 1bp deletion knockout cell line
ZAK,HZGHC000039c001,Human ZAK 11bp deletion knockout cell line
ZAK,HZGHC000039c003,Human ZAK 17bp deletion knockout cell line
ADRBK2,HZGHC000041c010,Human ADRBK2 7bp deletion knockout cell line
ADRBK2,HZGHC000041c011,Human ADRBK2 13bp deletion knockout cell line
ADRBK2,HZGHC000041c014,Human ADRBK2 4bp insertion knockout cell line
CDK4,HZGHC000044c005,Human CDK4 4bp deletion knockout cell line
CDK4,HZGHC000044c011,Human CDK4 5bp deletion knockout cell line
CDK4,HZGHC000044c020,Human CDK4 4bp deletion knockout cell line
CSNK1G2,HZGHC000045c010,Human CSNK1G2 1bp insertion knockout cell line
CSNK1G2,HZGHC000045c023,Human CSNK1G2 77bp insertion knockout cell line
EPHB6,HZGHC000046c010,Human EPHB6 1bp insertion knockout cell line
GSG2,HZGHC000047c016,Human GSG2 2bp insertion knockout cell line
MAP2K7,HZGHC000049c001,Human MAP2K7 10bp deletion knockout cell line
MAP2K7,HZGHC000049c009,Human MAP2K7 14bp deletion knockout cell line
MARK1,HZGHC000050c001,Human MARK1 4bp deletion knockout cell line
MARK1,HZGHC000050c012,Human MARK1 11bp deletion knockout cell line
MARK1,HZGHC000050c020,Human MARK1 34bp deletion knockout cell line
NEK8,HZGHC000052c004,Human NEK8 8bp deletion knockout cell line
NEK8,HZGHC000052c009,Human NEK8 7bp deletion knockout cell line
NEK8,HZGHC000052c011,Human NEK8 2bp insertion knockout cell line
PAK2,HZGHC000053c001,Human PAK2 5bp deletion knockout cell line
PAK2,HZGHC000053c003,Human PAK2 14bp deletion knockout cell line
PAK2,HZGHC000053c015,Human PAK2 2bp deletion knockout cell line
PIM3,HZGHC000054c004,Human PIM3 16bp deletion knockout cell line
PIM3,HZGHC000054c011,Human PIM3 4bp deletion knockout cell line
PIM3,HZGHC000054c014,Human PIM3 5bp deletion knockout cell line
PRKAA2,HZGHC000055c013,Human PRKAA2 1bp insertion knockout cell line
PRKCA,HZGHC000056c007,Human PRKCA 13bp deletion knockout cell line
PRKCA,HZGHC000056c018,Human PRKCA 2bp deletion knockout cell line
PRKCI,HZGHC000057c007,Human PRKCI 10bp deletion knockout cell line
PRKCI,HZGHC000057c008,Human PRKCI 7bp deletion knockout cell line
PRKX,HZGHC000058c012,Human PRKX 13bp deletion knockout cell line
PRKX,HZGHC000058c019,Human PRKX 14bp deletion knockout cell line
RIOK3,HZGHC000059c011,Human RIOK3 14bp deletion knockout cell line
RIOK3,HZGHC000059c022,Human RIOK3 21bp deletion knockout cell line
RIPK1,HZGHC000060c015,Human RIPK1 14bp deletion knockout cell line
RIPK1,HZGHC000060c018,Human RIPK1 1bp insertion knockout cell line
RIPK1,HZGHC000060c024,Human RIPK1 162bp insertion knockout cell line
ROCK2,HZGHC000061c017,Human ROCK2 8bp deletion knockout cell line
ROCK2,HZGHC000061c018,Human ROCK2 23bp deletion knockout cell line
ROCK2,HZGHC000061c021,Human ROCK2 2bp insertion knockout cell line
SGK494,HZGHC000062c013,Human SGK494 10bp deletion knockout cell line
SGK494,HZGHC000062c021,Human SGK494 4bp deletion knockout cell line
SIK3,HZGHC000064c008,Human SIK3 4bp deletion knockout cell line
SIK3,HZGHC000064c018,Human SIK3 2bp deletion knockout cell line
SIK3,HZGHC000064c021,Human SIK3 13bp deletion knockout cell line
STK16,HZGHC000065c002,Human STK16 10bp deletion knockout cell line
STK16,HZGHC000065c007,Human STK16 2bp insertion knockout cell line
STK17B,HZGHC000066c005,Human STK17B 10bp deletion knockout cell line
STK17B,HZGHC000066c017,Human STK17B 10bp deletion knockout cell line
STK17B,HZGHC000066c019,Human STK17B 14bp deletion knockout cell line
STK32C,HZGHC000067c006,Human STK32C 13bp deletion knockout cell line
STK32C,HZGHC000067c021,Human STK32C 8bp deletion knockout cell line
STK33,HZGHC000068c012,Human STK33 5bp deletion knockout cell line
STK33,HZGHC000068c018,Human STK33 10bp deletion knockout cell line
STK39,HZGHC000069c007,Human STK39 16bp deletion knockout cell line
STK39,HZGHC000069c012,Human STK39 10bp deletion knockout cell line
STK39,HZGHC000069c020,Human STK39 2bp deletion knockout cell line
STYK1,HZGHC000070c002,Human STYK1 2bp insertion knockout cell line
STYK1,HZGHC000070c009,Human STYK1 11bp deletion knockout cell line
STYK1,HZGHC000070c019,Human STYK1 8bp deletion knockout cell line
TAOK3,HZGHC000071c013,Human TAOK3 5bp deletion knockout cell line
TAOK3,HZGHC000071c014,Human TAOK3 5bp deletion knockout cell line
TAOK3,HZGHC000071c016,Human TAOK3 7bp deletion knockout cell line
ULK1,HZGHC000072c011,Human ULK1 1bp insertion knockout cell line
VRK1,HZGHC000073c019,Human VRK1 2bp deletion knockout cell line
VRK1,HZGHC000073c024,Human VRK1 4bp deletion knockout cell line
MOK,HZGHC000075c011,Human MOK 8bp deletion knockout cell line
MOK,HZGHC000075c014,Human MOK 4bp deletion knockout cell line
MOK,HZGHC000075c017,Human MOK 35bp deletion knockout cell line
BMPR2,HZGHC000076c011,Human BMPR2 4bp insertion knockout cell line
CAMKV,HZGHC000077c003,Human CAMKV 5bp deletion knockout cell line
CAMKV,HZGHC000077c016,Human CAMKV 1bp deletion knockout cell line
CAMKV,HZGHC000077c023,Human CAMKV 1bp deletion knockout cell line
CDK19,HZGHC000078c019,Human CDK19 1bp insertion knockout cell line
CDK19,HZGHC000078c020,Human CDK19 1bp insertion knockout cell line
CDK19,HZGHC000078c021,Human CDK19 1bp insertion knockout cell line
CDK3,HZGHC000079c003,Human CDK3 19bp deletion knockout cell line
CDK3,HZGHC000079c006,Human CDK3 10bp deletion knockout cell line
CDK3,HZGHC000079c011,Human CDK3 5bp deletion knockout cell line
CLK2,HZGHC000080c007,Human CLK2 7bp insertion knockout cell line
CLK2,HZGHC000080c012,Human CLK2 10bp deletion knockout cell line
CLK2,HZGHC000080c014,Human CLK2 19bp deletion knockout cell line
CLK4,HZGHC000081c001,Human CLK4 19bp deletion knockout cell line
CLK4,HZGHC000081c012,Human CLK4 25bp deletion knockout cell line
CLK4,HZGHC000081c014,Human CLK4 19bp deletion knockout cell line
CSNK2A2,HZGHC000083c002,Human CSNK2A2 4bp deletion knockout cell line
CSNK2A2,HZGHC000083c005,Human CSNK2A2 21bp insertion knockout cell line
CSNK2A2,HZGHC000083c017,Human CSNK2A2 14bp deletion knockout cell line
DAPK3,HZGHC000084c001,Human DAPK3 1bp insertion knockout cell line
DAPK3,HZGHC000084c012,Human DAPK3 18bp deletion knockout cell line
DAPK3,HZGHC000084c019,Human DAPK3 4bp deletion knockout cell line
EEF2K,HZGHC000085c016,Human EEF2K 7bp deletion knockout cell line
GAK,HZGHC000086c004,Human GAK 14bp deletion knockout cell line
GAK,HZGHC000086c007,Human GAK 10bp deletion knockout cell line
GAK,HZGHC000086c020,Human GAK 2bp deletion knockout cell line
